dist_id,state,schlev,agchrt,district,total_enroll_fy20,current_sped_exp_fy20,total_enroll_fy21,current_sped_exp_fy21,total_enroll_fy22,current_sped_exp_fy22,total_enroll_fy23,current_sped_exp_fy23,state_rev_v92_adjusted_fy20,federal_rev_v92_adjusted_fy20,local_rev_v92_adjusted_fy20,state_local_federal_rev_v92_adjusted_fy20,state_sped_rev_fy20,federal_sped_rev_fy20,state_fed_sped_rev_fy20,state_rev_v92_adjusted_fy21,federal_rev_v92_adjusted_fy21,local_rev_v92_adjusted_fy21,state_local_federal_rev_v92_adjusted_fy21,state_sped_rev_fy21,federal_sped_rev_fy21,state_fed_sped_rev_fy21,state_rev_v92_adjusted_fy22,federal_rev_v92_adjusted_fy22,local_rev_v92_adjusted_fy22,state_local_federal_rev_v92_adjusted_fy22,state_sped_rev_fy22,federal_sped_rev_fy22,state_fed_sped_rev_fy22,state_rev_v92_adjusted_fy23,federal_rev_v92_adjusted_fy23,local_rev_v92_adjusted_fy23,state_local_federal_rev_v92_adjusted_fy23,state_sped_rev_fy23,federal_sped_rev_fy23,state_fed_sped_rev_fy23,sped_enroll_fy20,sped_enroll_fy21,sped_enroll_fy22,sped_enroll_fy23,state_sped_rev_fy20_adjusted,federal_sped_rev_fy20_adjusted,state_fed_sped_rev_fy20_adjusted,current_sped_exp_fy20_adjusted,state_sped_rev_fy21_adjusted,federal_sped_rev_fy21_adjusted,state_fed_sped_rev_fy21_adjusted,current_sped_exp_fy21_adjusted,state_sped_rev_fy22_adjusted,federal_sped_rev_fy22_adjusted,state_fed_sped_rev_fy22_adjusted,current_sped_exp_fy22_adjusted
0100100,Alabama,3,3,Arab City,2696,2240000,2609,2274000,2645,2431000,2653,2587000,17425000,2582000,7158000,27165000,0,563000,563000,18653000,3620000,7333000,29606000,0,581000,581000,20533000,4021000,8655000,33209000,0,599000,599000,20673000,3849000,10618000,35140000,0,653000,653000,280,253,267,278,0,655922.587,655922.587,2609709.76,0,661664.297,661664.297,2589715.3380000005,0,636509.3799999999,636509.3799999999,2583229.2199999997
0100120,Alabama,3,2,Athens City,4505,2797000,4538,2855000,4788,3589000,4840,3837000,27781000,3958000,29028000,60767000,0,986000,986000,30150000,6489000,28104000,64743000,0,964000,964000,32462000,7934000,45162000,85558000,0,1105000,1105000,36600000,7321000,34296000,78217000,0,976000,976000,551,501,548,588,0,1148738.314,1148738.314,3258642.053,0,1097838.868,1097838.868,3251379.6350000002,0,1174195.0999999999,1174195.0999999999,3813743.1799999997
0100180,Alabama,3,3,Attalla City,1490,1595000,1470,1296000,1523,1358000,1538,1415000,10990000,2220000,2638000,15848000,0,465000,465000,13153000,3305000,2689000,19147000,0,465000,465000,11588000,3886000,3029000,18503000,0,419000,419000,12788000,3633000,3261000,19682000,0,436000,436000,177,173,180,201,0,541747.785,541747.785,1858253.155,0,529559.2050000001,529559.2050000001,1475932.752,0,445237.77999999997,445237.77999999997,1443037.96
0100185,Alabama,3,3,Saraland City,3233,2952000,3146,3073000,3261,3606000,3354,3904000,20496000,2520000,13735000,36751000,0,511000,511000,23790000,3869000,14461000,42120000,0,559000,559000,23535000,5452000,14778000,43765000,0,563000,563000,25120000,4238000,17519000,46877000,0,589000,589000,355,311,322,365,0,595340.039,595340.039,3439224.648,0,636609.883,636609.883,3499646.1010000003,0,598255.0599999999,598255.0599999999,3831807.7199999997
0100189,Alabama,3,3,Satsuma City,1592,1144000,1511,1332000,1520,1470000,1502,1594000,10051000,1351000,4370000,15772000,0,389000,389000,10688000,2120000,5095000,17903000,0,454000,454000,11058000,2313000,4822000,18193000,0,305000,305000,12330000,2467000,5700000,20497000,0,417000,417000,177,163,194,206,0,453204.061,453204.061,1332816.056,0,517031.998,517031.998,1516930.884,0,324099.1,324099.1,1562051.4
0100190,Alabama,3,3,Alabaster City,6293,6613000,6187,6790000,6354,7501000,6425,7796000,40712000,5536000,31275000,77523000,42000,1151000,1193000,43008000,8147000,32592000,83747000,38000,1206000,1244000,48288000,9915000,39173000,97376000,155000,1149000,1304000,47965000,12361000,42150000,102476000,107000,1230000,1337000,670,655,679,727,48932.058,1340971.399,1389903.457,7704469.037,43275.806000000004,1373437.422,1416713.2280000001,7732703.23,164706.09999999998,1220950.38,1385656.48,7970712.619999999
0100194,Alabama,3,3,Pelham City,3383,2324000,3402,2646000,3520,3017000,3425,3093000,19789000,2835000,22277000,44901000,80000,714000,794000,22753000,4400000,23488000,50641000,138000,846000,984000,23486000,6059000,26789000,56334000,0,1023000,1023000,24883000,4200000,29665000,58748000,151000,760000,911000,334,317,372,399,93203.92,831844.986,925048.906,2707573.876,157159.50600000002,963456.1020000001,1120615.608,3013362.702,0,1087060.26,1087060.26,3205924.5399999996
0100195,Alabama,3,3,Pike Road City,2228,1469000,2478,1681000,2688,2092000,2695,2685000,12964000,1873000,5504000,20341000,82000,370000,452000,15889000,2476000,6590000,24955000,0,396000,396000,19595000,1749000,8392000,29736000,0,410000,410000,22404000,1469000,11137000,35010000,0,488000,488000,188,200,214,246,95534.018,431068.13,526602.148,1711456.981,0,450979.45200000005,450979.45200000005,1914384.9970000002,0,435674.19999999995,435674.19999999995,2223001.0399999996
0100202,Alabama,3,3,Gulf Shores City,2221,1448000,2226,1499000,2338,1600000,2450,1808000,8202000,1976000,15631000,25809000,0,378000,378000,11205000,3564000,24609000,39378000,0,503000,503000,9240000,4240000,24785000,38265000,0,479000,479000,12235000,3319000,29522000,45076000,0,476000,476000,223,199,218,233,0,440388.522,440388.522,1686990.952,0,572835.011,572835.011,1707116.6630000002,0,508994.9799999999,508994.9799999999,1700191.9999999998
0100210,Alabama,3,3,Auburn City,8930,9632000,8971,9729000,9395,10921000,9492,12572000,51909000,5413000,79411000,136733000,0,1513000,1513000,56220000,10270000,78296000,144786000,10000,1634000,1644000,62862000,9925000,79121000,151908000,0,1664000,1664000,66307000,9683000,82246000,158236000,0,1798000,1798000,989,946,981,1084,0,1762719.137,1762719.137,11221751.968,11388.37,1860859.658,1872248.0280000002,11079745.173,0,1768199.68,1768199.68,11604873.02
0100240,Alabama,3,3,Autauga County,9120,7929000,8955,8108000,9008,9195000,9202,9858000,59070000,8903000,19198000,87171000,0,1981000,1981000,58793000,16308000,20897000,95998000,0,2288000,2288000,66132000,18710000,23857000,108699000,0,2154000,2154000,72335000,20576000,29546000,122457000,0,2200000,2200000,1067,1016,1017,1125,0,2307962.069,2307962.069,9237673.521,0,2605659.0560000003,2605659.0560000003,9233690.396000002,0,2288883.48,2288883.48,9770790.899999999
0100270,Alabama,3,3,Baldwin County,30602,35483000,29572,36477000,31812,38407000,31517,43227000,169918000,30065000,185754000,385737000,0,6295000,6295000,176455000,42447000,221697000,440599000,0,6692000,6692000,188997000,55636000,273317000,517950000,0,6718000,6718000,217222000,47940000,268654000,533816000,0,6883000,6883000,4670,4215,4476,4546,0,7333983.455,7333983.455,41339433.667,0,7621097.204000001,7621097.204000001,41541357.249000005,0,7138681.159999999,7138681.159999999,40812046.339999996
0100300,Alabama,3,3,Barbour County,703,800000,687,554000,737,892000,715,692000,5382000,1893000,2291000,9566000,0,286000,286000,4720000,3219000,2255000,10194000,0,232000,232000,4937000,5709000,2486000,13132000,0,290000,290000,6607000,9158000,2516000,18281000,0,265000,265000,87,-8,-8,87,0,333204.014,333204.014,932039.2,0,264210.184,264210.184,630915.6980000001,0,308159.8,308159.8,947857.0399999999
0100360,Alabama,3,3,Bibb County,3243,3274000,3117,3551000,3076,3678000,3098,4100000,24028000,4996000,7043000,36067000,0,893000,893000,24078000,5523000,7848000,37449000,0,858000,858000,29347000,8528000,8699000,46574000,0,1030000,1030000,26379000,10850000,9443000,46672000,0,889000,889000,458,430,395,398,0,1040388.757,1040388.757,3814370.426,0,977122.1460000001,977122.1460000001,4044010.1870000004,0,1094498.5999999999,1094498.5999999999,3908316.3599999994
0100390,Alabama,3,3,Birmingham City,22726,22769000,21597,22157000,21328,23477000,21130,27824000,138469000,48147000,120168000,306784000,0,5122000,5122000,140113000,53353000,113190000,306656000,0,6933000,6933000,152290000,83478000,118906000,354674000,0,8877000,8877000,150830000,114771000,133961000,399562000,0,6732000,6732000,2814,2669,2446,2351,0,5967380.978,5967380.978,26527000.681,0,7895556.921000001,7895556.921000001,25233211.409,0,9432877.739999998,9432877.739999998,24947129.74
0100420,Alabama,3,3,Blount County,7653,6274000,7756,6797000,7659,7110000,7798,7405000,53544000,7261000,15810000,76615000,0,1695000,1695000,56614000,12444000,15653000,84711000,0,1787000,1787000,63060000,17782000,19737000,100579000,0,1759000,1759000,61785000,18117000,21739000,101641000,0,1861000,1861000,991,979,1045,1134,0,1974758.055,1974758.055,7309517.426,0,2035101.7190000003,2035101.7190000003,7740675.089000001,0,1869148.5799999998,1869148.5799999998,7555228.199999999
0100450,Alabama,3,3,Brewton City,1163,710000,1192,715000,1212,1021000,1224,979000,7751000,1424000,6055000,15230000,0,261000,261000,8070000,2029000,6380000,16479000,0,279000,279000,10110000,3985000,6568000,20663000,0,289000,289000,9912000,2783000,6917000,19612000,0,289000,289000,132,121,117,128,0,304077.789,304077.789,827184.79,0,317735.52300000004,317735.52300000004,814268.4550000001,0,307097.18,307097.18,1084935.0199999998
0100510,Alabama,3,3,Butler County,2952,2576000,2959,2755000,2927,2797000,2900,2969000,20103000,5472000,6818000,32393000,0,974000,974000,20152000,8301000,7286000,35739000,0,905000,905000,21563000,10007000,9691000,41261000,0,877000,877000,26049000,13076000,10276000,49401000,0,828000,828000,348,328,322,346,0,1134757.726,1134757.726,3001166.224,0,1030647.4850000001,1030647.4850000001,3137495.935,0,931917.7399999999,931917.7399999999,2972148.1399999997
0100540,Alabama,3,3,Calhoun County,8495,8928000,8104,8722000,8118,9095000,8050,9359000,58182000,9277000,22983000,90442000,0,2335000,2335000,58377000,12619000,23108000,94104000,0,2232000,2232000,63598000,17784000,25496000,106878000,0,2394000,2394000,66052000,21309000,28631000,115992000,0,2159000,2159000,1225,1119,1167,1232,0,2720389.415,2720389.415,10401557.472,0,2541884.1840000004,2541884.1840000004,9932936.314000001,0,2543912.28,2543912.28,9664528.899999999
0100600,Alabama,3,3,Chambers County,3479,4237000,3386,4330000,3347,4551000,3158,4633000,23616000,5154000,9339000,38109000,0,849000,849000,23081000,6956000,9486000,39523000,0,931000,931000,23919000,9462000,10220000,43601000,0,879000,879000,25685000,11066000,11748000,48499000,0,872000,872000,622,600,556,507,0,989126.601,989126.601,4936312.613,0,1060257.2470000002,1060257.2470000002,4931164.210000001,0,934042.9799999999,934042.9799999999,4835983.619999999
0100630,Alabama,3,3,Cherokee County,3897,3660000,3833,3795000,3895,3952000,3886,4472000,27087000,5447000,12794000,45328000,0,1023000,1023000,26984000,8964000,12887000,48835000,0,979000,979000,28454000,9616000,14702000,52772000,0,1071000,1071000,36777000,9695000,16587000,63059000,0,1015000,1015000,518,494,497,499,0,1191845.127,1191845.127,4264079.34,0,1114921.4230000002,1114921.4230000002,4321886.415,0,1138066.0199999998,1138066.0199999998,4199474.239999999
0100660,Alabama,3,3,Chilton County,7831,5895000,7705,6324000,7723,7052000,7858,7430000,50658000,8833000,13644000,73135000,0,1814000,1814000,52060000,16970000,13925000,82955000,0,1967000,1967000,57672000,19844000,15971000,93487000,0,2024000,2024000,63893000,17509000,18162000,99564000,0,2080000,2080000,850,845,819,911,0,2113398.886,2113398.886,6867963.855,0,2240092.379,2240092.379,7202005.188000001,0,2150742.88,2150742.88,7493596.239999999
0100690,Alabama,3,3,Choctaw County,1242,1307000,1126,1268000,1067,1257000,1097,1382000,8084000,3021000,6251000,17356000,0,414000,414000,7717000,3995000,6810000,18522000,0,395000,395000,8171000,4322000,7352000,19845000,0,376000,376000,7690000,5994000,7891000,21575000,0,360000,360000,161,144,134,129,0,482330.286,482330.286,1522719.043,0,449840.61500000005,449840.61500000005,1444045.316,0,399545.11999999994,399545.11999999994,1335713.3399999999
0100720,Alabama,3,3,Clarke County,2362,2213000,2271,2304000,2254,2853000,2171,2889000,17317000,4254000,6110000,27681000,0,698000,698000,16623000,7306000,6597000,30526000,0,716000,716000,18866000,12258000,8482000,39606000,0,754000,754000,18672000,11292000,8000000,37964000,0,705000,705000,290,271,283,292,0,813204.202,813204.202,2578253.437,0,815407.292,815407.292,2623880.4480000003,0,801215.4799999999,801215.4799999999,3031654.86
0100750,Alabama,3,3,Clay County,1840,2012000,1804,2190000,1826,2108000,1784,2175000,13427000,2181000,4078000,19686000,13000,489000,502000,13731000,3199000,3389000,20319000,0,517000,517000,14117000,5148000,3616000,22881000,0,559000,559000,17882000,5786000,3859000,27527000,0,500000,500000,222,221,221,209,15145.637,569708.961,584854.598,2344078.588,0,588778.729,588778.729,2494053.0300000003,0,594004.58,594004.58,2240002.96
0100810,Alabama,3,3,Coffee County,2467,2189000,2541,2558000,2782,2755000,2846,3120000,17130000,2676000,5415000,25221000,0,482000,482000,17886000,5929000,5966000,29781000,0,624000,624000,20587000,6921000,6772000,34280000,0,624000,624000,25373000,7319000,8060000,40752000,0,814000,814000,273,270,309,332,0,561553.618,561553.618,2550292.261,0,710634.2880000001,710634.2880000001,2913145.046,0,663074.8799999999,663074.8799999999,2927518.0999999996
0100840,Alabama,3,3,Colbert County,2720,3436000,2618,3504000,2658,3522000,2621,4084000,16777000,4375000,11560000,32712000,0,750000,750000,17484000,6552000,12138000,36174000,0,713000,713000,18079000,7108000,13665000,38852000,0,760000,760000,20148000,7646000,14583000,42377000,0,881000,881000,456,434,430,478,0,873786.75,873786.75,4003108.364,0,811990.7810000001,811990.7810000001,3990484.848,0,807591.2,807591.2,3742547.6399999997
0100870,Alabama,3,3,Conecuh County,1955,1388000,1659,1647000,1513,1538000,1487,1602000,14154000,3023000,3788000,20965000,0,379000,379000,13555000,3619000,3591000,20765000,0,524000,524000,15854000,4343000,5401000,25598000,0,485000,485000,15323000,7181000,5173000,27677000,0,542000,542000,181,163,133,150,0,441553.571,441553.571,1617088.012,0,596750.5880000001,596750.5880000001,1875664.539,0,515370.69999999995,515370.69999999995,1634309.5599999998
0100900,Alabama,3,3,Coosa County,794,904000,777,1107000,788,1316000,805,1314000,5550000,1555000,3284000,10389000,122000,283000,405000,5713000,1995000,3773000,11481000,162000,271000,433000,5618000,4663000,5301000,15582000,136000,306000,442000,8141000,2953000,3775000,14869000,147000,285000,432000,124,114,124,137,142135.978,329708.867,471844.845,1053204.296,184491.594,308624.82700000005,493116.42100000003,1260692.5590000001,144516.31999999998,325161.72,469678.04,1398407.92
0100930,Alabama,3,3,Covington County,3056,2672000,2880,2773000,2982,3042000,3040,3206000,21687000,3479000,9176000,34342000,0,771000,771000,21153000,5582000,8961000,35696000,0,765000,765000,22782000,7565000,11028000,41375000,0,806000,806000,27729000,8172000,11677000,47578000,0,802000,802000,462,422,386,430,0,898252.779,898252.779,3113010.928,0,871210.305,871210.305,3157995.001,0,856471.72,856471.72,3232490.0399999996
