dist_id,state,schlev,agchrt,district,total_enroll,tcurelsc,current_sped_exp,sped_instructional_exp,sped_pupil_support_services_exp,sped_instructional_support_exp,sped_student_transportation_exp,sped_teacher_salaries
101660,Alabama,3,3,Geneva County,2784,35101000,2932000,1900000,761000,0,125000,1040000
101680,Alabama,3,3,Greene County,913,17488000,979000,596000,189000,0,80000,344000
101690,Alabama,3,3,Guntersville City,1851,24642000,1767000,1130000,340000,1000,75000,500000
101710,Alabama,3,3,Hale County,2318,30208000,2135000,1385000,400000,4000,203000,516000
101720,Alabama,3,3,Haleyville City,1644,20852000,2173000,1813000,93000,14000,93000,652000
101730,Alabama,3,3,Hartselle City,3638,46825000,4519000,3799000,321000,0,176000,1772000
101740,Alabama,3,3,Henry County,2530,30954000,2946000,2058000,570000,1000,135000,1197000
101760,Alabama,3,3,Homewood City,4371,65122000,7599000,6201000,1086000,13000,127000,2023000
101770,Alabama,3,3,Houston County,6883,75516000,8132000,6912000,444000,8000,438000,2862000
101800,Alabama,3,3,Huntsville City,23776,312567000,30004000,18981000,8186000,1067000,781000,9343000
101830,Alabama,3,3,Jackson County,5200,67439000,5258000,2902000,1857000,2000,184000,1538000
101860,Alabama,3,3,Jacksonville City,1752,21025000,2196000,1784000,178000,150000,79000,987000
101890,Alabama,3,3,Jasper City,2770,34052000,2581000,2040000,487000,2000,41000,1115000
101920,Alabama,3,3,Jefferson County,35951,438387000,49229000,32604000,7733000,1667000,5824000,18063000
101950,Alabama,3,3,Lamar County,2201,26420000,2399000,1359000,762000,1000,123000,879000
101980,Alabama,3,3,Lanett City,963,11690000,1253000,1102000,52000,1000,36000,559000
102010,Alabama,3,3,Lauderdale County,8080,99008000,7751000,4221000,2657000,69000,561000,2633000
102040,Alabama,3,3,Lawrence County,4698,62870000,5165000,3868000,596000,16000,464000,1612000
102070,Alabama,3,3,Lee County,9312,117018000,14700000,9534000,3302000,19000,1562000,4228000
102100,Alabama,3,3,Limestone County,15887,146792000,13239000,9080000,2234000,115000,990000,3919000
102130,Alabama,3,3,Linden City,434,7133000,550000,262000,115000,1000,40000,169000
102160,Alabama,3,3,Lowndes County,1176,27258000,1342000,1005000,116000,14000,123000,494000
102190,Alabama,3,3,Macon County,1790,31502000,2129000,1581000,259000,5000,129000,785000
102220,Alabama,3,3,Madison County,20551,224108000,24356000,19949000,1851000,499000,1600000,9714000
102250,Alabama,3,3,Marengo County,953,15818000,1179000,839000,238000,44000,6000,550000
102310,Alabama,3,3,Marion County,3329,40906000,3136000,2344000,550000,30000,24000,1121000
102350,Alabama,3,3,Midfield City,1045,13941000,1209000,910000,198000,39000,0,469000
102370,Alabama,3,3,Mobile County,51979,688456000,63714000,46688000,8516000,2124000,5540000,22811000
102400,Alabama,3,3,Monroe County,3077,41125000,4103000,2634000,1001000,6000,287000,1245000
102430,Alabama,3,2,Montgomery County,26821,348056000,29688000,21371000,4616000,1382000,1794000,9885000
102480,Alabama,3,3,Morgan County,7691,91674000,8669000,5704000,1674000,72000,857000,2807000
102490,Alabama,3,3,Mountain Brook City,4409,78610000,9565000,7274000,2214000,17000,61000,3259000
102520,Alabama,3,3,Muscle Shoals City,2896,37220000,2862000,2106000,391000,10000,0,1049000
102550,Alabama,3,3,Oneonta City,1403,16578000,1138000,873000,153000,0,39000,459000
102580,Alabama,3,3,Opelika City,5048,61748000,4116000,3442000,251000,33000,237000,1963000
102610,Alabama,3,3,Opp City,1329,17059000,1539000,1375000,84000,3000,0,681000
102635,Alabama,3,3,Oxford City,4203,56820000,4185000,3605000,237000,18000,217000,1895000
102640,Alabama,3,3,Ozark City,2054,27855000,2781000,1817000,740000,6000,125000,970000
102650,Alabama,3,3,Pell City,4157,49598000,4963000,3578000,702000,18000,330000,1461000
102670,Alabama,3,3,Perry County,935,19804000,1143000,914000,76000,0,58000,356000
102700,Alabama,3,3,Phenix City,7218,88485000,6699000,4965000,1285000,2000,119000,2599000
102730,Alabama,3,3,Pickens County,2373,31545000,2876000,2254000,318000,27000,139000,1276000
102760,Alabama,3,3,Piedmont City,1131,12762000,884000,547000,262000,65000,10000,237000
102790,Alabama,3,3,Pike County,2155,31695000,2415000,1393000,616000,43000,171000,869000
102820,Alabama,3,3,Randolph County,2090,25817000,2061000,1361000,365000,0,178000,628000
102850,Alabama,3,3,Roanoke City,1447,17502000,1545000,1330000,57000,0,2000,585000
102880,Alabama,3,3,Russell County,3695,45074000,2609000,2132000,252000,1000,91000,1059000
102910,Alabama,3,3,Russellville City,2614,33235000,1654000,1264000,93000,6000,133000,719000
102940,Alabama,3,3,Scottsboro City,2416,31348000,2533000,1791000,474000,2000,100000,996000
102970,Alabama,3,3,Selma City,2587,36874000,2749000,1840000,414000,18000,275000,957000
103000,Alabama,3,3,Sheffield City,1043,14830000,1564000,1295000,137000,5000,29000,651000
103030,Alabama,3,3,Shelby County,21179,263381000,37981000,29088000,3678000,1539000,3569000,11798000
103062,Alabama,3,3,St Clair County,9747,104154000,11268000,9180000,909000,55000,832000,3464000
103090,Alabama,3,3,Sumter County,1006,19331000,1418000,990000,200000,25000,82000,562000
103120,Alabama,3,3,Sylacauga City,2125,26589000,2340000,1852000,230000,167000,89000,782000
103150,Alabama,3,3,Talladega City,1560,24273000,1916000,1522000,132000,0,55000,744000
103180,Alabama,3,3,Talladega County,7204,87495000,6765000,5673000,350000,579000,109000,2440000
103210,Alabama,3,3,Tallapoosa County,2791,37050000,2686000,1899000,411000,10000,196000,1003000
103240,Alabama,3,3,Tallassee City,1536,20528000,2645000,1976000,339000,49000,95000,962000
103270,Alabama,3,3,Tarrant City,1271,18449000,1270000,905000,222000,3000,69000,521000
103300,Alabama,3,3,Thomasville City,1056,14916000,1135000,838000,96000,144000,0,450000
103330,Alabama,3,3,Troy City,1763,22698000,2391000,2008000,275000,0,32000,1072000
103360,Alabama,3,3,Tuscaloosa City,11186,159144000,13732000,8761000,2511000,462000,1544000,4443000
103390,Alabama,3,3,Tuscaloosa County,19377,224082000,23087000,17133000,2656000,185000,1931000,8382000
103420,Alabama,3,3,Tuscumbia City,1513,19148000,1316000,1049000,138000,1000,0,474000
103430,Alabama,3,3,Vestavia Hills City,7069,104689000,12872000,9463000,2774000,1000,381000,3615000
103450,Alabama,3,3,Walker County,7188,91217000,9178000,6831000,1258000,399000,380000,3323000
103480,Alabama,3,3,Washington County,2530,32185000,2673000,2051000,388000,0,127000,1064000
103510,Alabama,3,3,Wilcox County,1240,23445000,1601000,676000,607000,27000,119000,453000
103540,Alabama,3,3,Winfield City,1255,16282000,1167000,1051000,34000,3000,9000,445000
103580,Alabama,3,3,Winston County,2302,34051000,3661000,2655000,598000,6000,262000,1036000
200001,Alaska,3,2,Lower Kuskokwim School District,3970,166728000,1532000,0,1462000,0,0,0
200003,Alaska,3,2,Lower Yukon School District,2035,97751000,821000,221000,572000,0,0,0
200004,Alaska,3,3,Yupiit School District,471,19418000,179000,118000,44000,0,0,0
200005,Alaska,3,3,Kashunamiut School District,339,12455000,79000,74000,0,0,0,0
200006,Alaska,2,3,Mount Edgecumbe,407,13999000,62000,62000,0,0,0,0
200007,Alaska,3,3,Aleutians East Borough School District,211,10467000,52000,0,48000,0,0,0
200020,Alaska,3,3,Bering Strait School District,1830,86471000,698000,688000,0,0,0,0
200030,Alaska,3,3,Bristol Bay Borough School District,121,7010000,38000,25000,11000,0,0,0
200050,Alaska,3,3,Alaska Gateway School District,386,16520000,140000,136000,0,0,0,0
200060,Alaska,3,3,Cordova City School District,340,7880000,105000,8000,88000,0,0,0
200070,Alaska,3,3,Copper River School District,400,9871000,131000,118000,0,0,0,0
200090,Alaska,3,3,Craig City School District,668,8980000,171000,163000,0,0,0,0
200100,Alaska,3,3,Delta/Greely School District,938,14217000,275000,261000,0,0,0,0
200120,Alaska,3,3,Dillingham City School District,420,14732000,147000,4000,132000,0,0,0
200130,Alaska,3,3,Galena City School District,7177,46878000,1317000,1280000,0,0,0,0
200150,Alaska,3,2,Ketchikan Gateway Borough School District,2074,47973000,565000,538000,4000,0,0,0
200180,Alaska,3,2,Anchorage School District,43727,727451000,12569000,352000,11503000,0,0,0
200210,Alaska,3,2,Juneau Borough School District,4338,90089000,1572000,1088000,400000,0,0,0
200240,Alaska,3,3,Sitka School District,1120,26780000,421000,397000,0,0,0,0
200270,Alaska,3,3,Haines Borough School District,262,6258000,93000,88000,0,0,0,0
200300,Alaska,3,3,Hoonah City School District,112,4075000,26000,23000,1000,0,0,0
200330,Alaska,3,3,Hydaburg City School District,121,4556000,44000,40000,0,0,0,0
200390,Alaska,3,2,Kenai Peninsula Borough School District,8528,169387000,3337000,3170000,0,0,0,0
200450,Alaska,3,3,Klawock City School District,124,4772000,53000,48000,0,0,0,0
200480,Alaska,3,3,Kodiak Island Borough School District,2228,57233000,726000,556000,155000,0,0,0
200485,Alaska,3,3,Lake and Peninsula Borough School District,334,21199000,136000,22000,108000,0,0,0
200510,Alaska,3,2,Matanuska-Susitna Borough School District,19705,306906000,4896000,2287000,1667000,511000,0,0
200520,Alaska,3,3,Iditarod Area School District,306,11524000,106000,1000,97000,0,0,0
200525,Alaska,3,3,Annette Island School District,311,12127000,119000,70000,41000,0,0,0
200540,Alaska,3,3,Nenana City School District,1858,15312000,379000,359000,0,0,0,0
200570,Alaska,3,2,Nome Public Schools,719,18100000,282000,229000,32000,9000,0,0
200600,Alaska,3,2,Fairbanks North Star Borough School District,12703,223780000,4010000,3782000,0,0,0,0
200610,Alaska,3,2,North Slope Borough School District,2044,84116000,873000,0,812000,23000,0,0
200625,Alaska,3,3,Northwest Arctic Borough School District,1911,88610000,682000,0,656000,0,0,0
200660,Alaska,3,3,Petersburg Borough School District,438,10983000,154000,148000,0,0,0,0
200670,Alaska,3,3,Pribilof School District,57,2333000,45000,0,45000,0,0,0
200680,Alaska,3,3,Saint Mary's School District,203,8103000,65000,62000,0,0,0,0
200690,Alaska,3,3,Skagway School District,152,4355000,86000,86000,0,0,0,0
200700,Alaska,3,3,Southeast Island School District,170,8959000,66000,63000,0,0,0,0
200710,Alaska,3,3,Southwest Region School District,631,26601000,325000,26000,286000,0,0,0
200720,Alaska,3,3,Unalaska City School District,346,10278000,107000,107000,0,0,0,0
200730,Alaska,3,3,Chatham School District,147,6794000,48000,0,45000,0,0,0
200760,Alaska,3,3,Kuspuk School District,318,18275000,158000,111000,39000,0,0,0
200770,Alaska,3,3,Denali Borough School District,912,10287000,286000,189000,87000,0,0,0
200775,Alaska,3,3,Yukon Flats School District,197,15126000,98000,0,0,92000,0,0
200780,Alaska,3,3,Valdez City School District,653,17039000,234000,227000,0,0,0,0
200800,Alaska,3,3,Chugach School District,637,8731000,163000,2000,127000,28000,0,0
200810,Alaska,3,3,Wrangell Public School District,264,5992000,74000,58000,6000,0,0,0
200840,Alaska,3,3,Yakutat School District,92,2622000,59000,0,56000,0,0,0
200862,Alaska,3,3,Yukon-Koyukuk School District,3100,39946000,777000,534000,203000,0,0,0
500001,Arkansas,3,3,DEWITT SCHOOL DISTRICT,1151,14806000,1150000,830000,282000,35000,4000,402000
500006,Arkansas,3,2,WARREN SCHOOL DISTRICT,1424,21699000,989000,832000,77000,67000,8000,430000
500009,Arkansas,3,3,CORNING SCHOOL DISTRICT,832,10170000,584000,521000,63000,0,0,269000
500012,Arkansas,3,3,RIVERSIDE SCHOOL DISTRICT,774,8738000,827000,616000,157000,43000,11000,392000
500015,Arkansas,3,3,SHERIDAN SCHOOL DISTRICT,4325,43597000,3713000,3000000,401000,268000,43000,1855000
500016,Arkansas,3,3,MARMADUKE SCHOOL DISTRICT,717,8331000,530000,398000,117000,15000,0,225000
500017,Arkansas,3,3,PARAGOULD SCHOOL DISTRICT,3217,38536000,3763000,2925000,590000,248000,0,1610000
500019,Arkansas,3,2,BATESVILLE SCHOOL DISTRICT,3469,34691000,2813000,1901000,652000,260000,0,1018000
500020,Arkansas,3,3,MIDLAND SCHOOL DISTRICT,511,7855000,611000,536000,16000,59000,0,196000
500021,Arkansas,3,3,IZARD CO. CONS. SCHOOL DIST.,648,9096000,374000,359000,16000,0,0,171000
500023,Arkansas,3,3,NEWPORT SCHOOL DISTRICT,1268,16862000,1313000,900000,279000,108000,25000,616000
500026,Arkansas,3,3,PINE BLUFF SCHOOL DISTRICT,3261,58565000,5254000,3549000,1022000,595000,87000,1281000
500028,Arkansas,3,3,STAR CITY SCHOOL DISTRICT,1432,17166000,1168000,741000,247000,122000,57000,427000
500029,Arkansas,3,3,GOSNELL SCHOOL DISTRICT,1173,13249000,1108000,959000,109000,17000,23000,584000
500030,Arkansas,3,3,NEVADA SCHOOL DISTRICT,414,5390000,272000,218000,52000,0,2000,112000
500032,Arkansas,3,3,BEARDEN SCHOOL DISTRICT,476,6955000,472000,294000,89000,81000,8000,160000
500041,Arkansas,3,3,WESTERN YELL CO. SCHOOL DIST.,322,5141000,235000,140000,93000,2000,0,79000
500042,Arkansas,3,3,HAMBURG SCHOOL DISTRICT,1691,19254000,1145000,869000,133000,116000,27000,502000
500043,Arkansas,3,2,MOUNTAIN HOME SCHOOL DISTRICT,3914,47331000,4808000,3383000,849000,418000,159000,1387000
500044,Arkansas,3,3,MAGNOLIA SCHOOL DISTRICT,2662,35601000,2366000,1503000,554000,308000,1000,939000
500045,Arkansas,3,2,RIVERCREST SCHOOL DISTRICT #57,1116,17219000,972000,697000,173000,87000,15000,384000
500046,Arkansas,3,3,MANILA SCHOOL DISTRICT,1076,11986000,669000,576000,68000,24000,0,400000
500047,Arkansas,3,3,TRUMANN SCHOOL DISTRICT,1573,16528000,1268000,789000,90000,386000,4000,514000
500048,Arkansas,3,3,EAST POINSETT CO. SCHOOL DIST.,621,7963000,563000,430000,108000,22000,3000,297000
500049,Arkansas,3,3,DEQUEEN SCHOOL DISTRICT,2320,28977000,1747000,1165000,448000,111000,23000,701000
500051,Arkansas,3,3,PALESTINE-WHEATLEY SCH. DIST.,775,9541000,723000,467000,249000,7000,0,207000
500065,Arkansas,3,3,LAFAYETTE COUNTY SCHOOL DISTRICT,516,8827000,644000,529000,75000,18000,22000,169000
500067,Arkansas,3,3,CLEVELAND COUNTY SCHOOL DIST.,739,9168000,720000,543000,177000,0,0,329000
500068,Arkansas,3,3,EMERSON-TAYLOR SCHOOL DISTRICT,1171,13470000,846000,747000,100000,0,0,318000
500070,Arkansas,3,3,CEDAR RIDGE SCHOOL DISTRICT,641,11045000,716000,500000,135000,81000,0,311000
500071,Arkansas,3,3,HILLCREST SCHOOL DISTRICT,434,6506000,404000,310000,45000,44000,4000,188000
500072,Arkansas,3,3,DEER/MT. JUDEA SCHOOL DISTRICT,356,5426000,215000,126000,89000,0,0,83000
500073,Arkansas,3,3,OUACHITA RIVER SCHOOL DISTRICT,799,9242000,466000,375000,80000,11000,0,167000
500076,Arkansas,3,3,OZARK MOUNTAIN SCHOOL DISTRICT,571,8562000,615000,406000,125000,85000,0,180000
500079,Arkansas,3,3,TWO RIVERS SCHOOL DISTRICT,783,10676000,782000,624000,133000,18000,8000,340000
500082,Arkansas,3,3,LAWRENCE COUNTY SCHOOL DISTRICT,1042,11474000,644000,578000,35000,32000,0,277000
500405,Arkansas,3,3,COSSATOT RIVER SCHOOL DISTRICT,861,14101000,664000,534000,126000,4000,0,333000
500419,Arkansas,3,3,JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,4517,50879000,4665000,2706000,1513000,422000,24000,1428000
502250,Arkansas,3,3,ALMA SCHOOL DISTRICT,3143,35449000,3200000,2470000,303000,316000,111000,1454000
502280,Arkansas,3,3,ALPENA SCHOOL DISTRICT,470,5450000,514000,442000,50000,21000,0,242000
502430,Arkansas,3,3,ARKADELPHIA SCHOOL DISTRICT,1913,19636000,1800000,1458000,163000,172000,6000,820000
502550,Arkansas,3,3,ARMOREL SCHOOL DISTRICT,416,5667000,409000,312000,95000,2000,0,151000
502580,Arkansas,3,3,ASHDOWN SCHOOL DISTRICT,1308,16561000,1346000,757000,483000,96000,0,462000
502610,Arkansas,3,3,ATKINS SCHOOL DISTRICT,989,11674000,1110000,955000,130000,0,24000,414000
502670,Arkansas,3,3,AUGUSTA SCHOOL DISTRICT,371,7045000,534000,432000,1000,86000,14000,196000
502700,Arkansas,3,3,BALD KNOB SCHOOL DISTRICT,1106,14829000,849000,745000,92000,13000,0,445000
502730,Arkansas,3,3,BARTON-LEXA SCHOOL DISTRICT,674,8862000,759000,383000,290000,68000,0,266000
502790,Arkansas,3,2,BAUXITE SCHOOL DISTRICT,1659,16549000,1402000,1270000,99000,33000,0,660000
502820,Arkansas,3,3,BAY SCHOOL DISTRICT,562,6590000,634000,583000,34000,17000,0,252000
502880,Arkansas,3,3,BEEBE SCHOOL DISTRICT,3394,34361000,3377000,2683000,293000,269000,132000,1554000
502960,Arkansas,3,3,BENTON SCHOOL DISTRICT,5904,55301000,5171000,3854000,662000,397000,259000,2189000
503030,Arkansas,3,3,PEA RIDGE SCHOOL DISTRICT,2494,25677000,2293000,1464000,667000,133000,27000,719000
503060,Arkansas,3,3,BENTONVILLE SCHOOL DISTRICT,18674,231134000,25362000,13621000,6480000,4346000,915000,7797000
503090,Arkansas,3,3,BERGMAN SCHOOL DISTRICT,1124,11649000,741000,633000,104000,4000,0,329000
503150,Arkansas,3,3,BERRYVILLE SCHOOL DISTRICT,1863,23335000,2594000,1774000,607000,152000,61000,804000
503240,Arkansas,3,3,BISMARCK SCHOOL DISTRICT,1020,10751000,677000,487000,70000,99000,21000,317000
503300,Arkansas,3,3,BLEVINS SCHOOL DISTRICT,450,6390000,478000,388000,54000,36000,0,123000
503320,Arkansas,3,3,BLYTHEVILLE SCHOOL DISTRICT,1581,22966000,1297000,981000,66000,176000,74000,515000
503420,Arkansas,3,3,LEAD HILL SCHOOL DISTRICT,377,5307000,373000,262000,93000,17000,0,151000
503450,Arkansas,3,3,BOONEVILLE SCHOOL DISTRICT,1344,14660000,969000,828000,72000,32000,37000,437000
503480,Arkansas,3,3,BRADFORD SCHOOL DISTRICT,473,5423000,268000,247000,21000,0,0,127000
503630,Arkansas,3,3,BRINKLEY SCHOOL DISTRICT,469,7232000,344000,246000,40000,59000,0,133000
503640,Arkansas,3,3,BROOKLAND SCHOOL DISTRICT,3060,30769000,3857000,2873000,473000,408000,103000,1587000
503690,Arkansas,3,3,BRYANT SCHOOL DISTRICT,9766,97721000,11852000,9904000,1243000,618000,87000,5549000
503710,Arkansas,3,3,BUFFALO IS. CENTRAL SCH. DIST.,731,9206000,747000,439000,222000,86000,0,286000
503750,Arkansas,3,2,CABOT SCHOOL DISTRICT,10696,115426000,14736000,12202000,1564000,971000,0,6891000
503770,Arkansas,3,2,CADDO HILLS SCHOOL DISTRICT,589,7787000,601000,465000,42000,78000,16000,198000
503840,Arkansas,3,3,CALICO ROCK SCHOOL DISTRICT,385,5440000,309000,286000,19000,0,4000,125000
503960,Arkansas,3,3,CARLISLE SCHOOL DISTRICT,677,8733000,533000,320000,102000,111000,0,189000
504020,Arkansas,3,3,WESTSIDE CONS. SCHOOL DISTRICT,1824,19700000,1653000,1299000,180000,134000,40000,826000
504050,Arkansas,3,2,CAVE CITY SCHOOL DISTRICT,1235,15857000,1071000,831000,143000,85000,12000,403000
504080,Arkansas,3,3,CEDARVILLE SCHOOL DISTRICT,721,10658000,825000,515000,182000,129000,0,370000
504110,Arkansas,3,3,GENOA CENTRAL SCHOOL DISTRICT,1183,13219000,821000,527000,189000,79000,26000,306000
504170,Arkansas,3,3,WHITE CO. CENTRAL SCHOOL DIST.,899,9270000,501000,460000,31000,10000,0,289000
504200,Arkansas,3,3,CHARLESTON SCHOOL DISTRICT,889,9261000,536000,468000,69000,0,0,258000
504350,Arkansas,3,3,CLARENDON SCHOOL DISTRICT,472,7269000,582000,414000,80000,88000,0,136000
504370,Arkansas,3,3,RECTOR SCHOOL DISTRICT,616,8031000,402000,342000,50000,10000,0,197000
504380,Arkansas,3,3,CLARKSVILLE SCHOOL DISTRICT,2525,30621000,2933000,2385000,267000,152000,130000,961000
504410,Arkansas,3,3,CLINTON SCHOOL DISTRICT,1338,16695000,1679000,1375000,260000,14000,30000,496000
504560,Arkansas,3,3,CONCORD SCHOOL DISTRICT,373,6156000,429000,309000,83000,38000,0,177000
504590,Arkansas,3,3,CONWAY SCHOOL DISTRICT,10251,119822000,12551000,9959000,1477000,750000,365000,6508000
504680,Arkansas,3,3,COTTER SCHOOL DISTRICT,728,8753000,672000,474000,179000,11000,9000,218000
504740,Arkansas,3,3,COUNTY LINE SCHOOL DISTRICT,565,6144000,401000,294000,106000,0,0,170000
504800,Arkansas,3,3,CROSSETT SCHOOL DISTRICT,1654,18883000,1379000,893000,353000,115000,18000,356000
504860,Arkansas,3,3,CUTTER-MORNING STAR SCH. DIST.,690,9430000,663000,340000,290000,34000,0,206000
504890,Arkansas,3,3,DANVILLE SCHOOL DISTRICT,787,10370000,758000,593000,152000,0,13000,257000
504930,Arkansas,3,3,DARDANELLE SCHOOL DISTRICT,2064,24469000,2075000,2011000,44000,4000,16000,1091000
504980,Arkansas,3,3,DECATUR SCHOOL DISTRICT,619,7755000,423000,380000,12000,15000,16000,202000
505170,Arkansas,3,3,DERMOTT SCHOOL DISTRICT,337,6053000,566000,490000,0,76000,0,233000
505190,Arkansas,3,3,DES ARC SCHOOL DISTRICT,636,7116000,500000,463000,19000,4000,15000,244000
505340,Arkansas,3,3,DIERKS SCHOOL DISTRICT,523,6774000,530000,319000,194000,17000,0,210000
